1,Байконур,17
2,Абакан,10
3,Альметьевск,8
4,Анадырь,44
5,Ангарск,15
6,Арзамас,8
7,Армавир,3
8,Артем,17
9,Архагельск,10
10,Астрахань,8
11,Ачинск,10
12,Балаково,8
13,Балашиха,8
14,Барнаул,10
15,Батайск,1
16,Белгород,8
17,Бердск,10
18,Березинки,10
19,Бийск,10
20,Биробиджан,24
21,Благовещенск,17
22,Братск,15
23,Брянск,8
24,Великий Новгород,8
25,Владивосток,17
26,Владикавказ,8
27,Владимир,8
28,Волгоград,3
29,Волгодонск,3
30,Волжский,3
31,Вологда,8
32,Воронеж,8
33,Горно-Алтайск,10
34,Грозный,8
35,Дербент,8
36,Дзержинск,8
37,Димитровград,8
38,Долгопрудный,8
39,Домодедово,8
40,Евпатория,8
41,Екатеринбург,10
42,Елец,8
43,Ессентуки,3
44,Железногорск (Курская),8
45,Жуковский,8
46,Златоуст,10
47,Иваново,8
48,Ижевск,8
49,Иркутск,15
50,Йошкар-Ола,8
51,Казань,8
52,Калининград,10
53,Калуга,8
54,Каменск-Уральский,10
55,Камышин,3
56,Каспийск,8
57,Кемерово,10
58,Керчь,8
59,Киров,10
60,Кисловодск,3
61,Ковров,8
62,Коломна,8
63,Комсомольск-на-Амуре,24
64,Копейск,10
65,Королев,8
66,Кострома,8
67,Красногорск,8
68,Краснодар,3
69,Красноярск,10
70,Курган,10
71,Курск,8
72,Кызыл,15
73,Липецк,8
74,Люберцы,8
75,Магадан,24
76,Магас,8
77,Магнитогорск,10
78,Майкоп,3
79,Махачкала,8
80,Миасс,10
81,Москва,8
82,Мурманск,10
83,Муром,8
84,Мытищи,8
85,Набережные Челны,8
86,Назрань,8
87,Нальчик,8
88,Нарьян-Мар,38
89,Находка,17
90,Невинномысск,3
91,Нефтекамск,8
92,Нефтеюганск,10
93,Нижневартовск,10
94,Нижнекамск,8
95,Нижний Новгород,8
96,Нижний Тагил,10
97,Новокузнецк,10
98,Новокуйбышевск,8
99,Новомосковск,8
100,Новороссийск,3
101,Новосибирск,10
102,Новочебоксарск,8
103,Новочеркасск,3
104,Новошахтинск,3
105,Новый Уренгой,10
106,Ногинск,8
107,Норильск,38
108,Ноябрьск,10
109,Обнинск,8
110,Одинцово,8
111,Октябрьский,8
112,Омск,10
113,Орел,8
114,Оренбург,8
115,Орехово-Зуево,8
116,Орск,8
117,Пенза,8
118,Первоуральск,10
119,Пермь,10
120,Петрозаводск,10
121,Петропавловск-Камчатский,17
122,Подольск,8
123,Прокопьевск,10
124,Псков,8
125,Пушкино,8
126,Пятигорск,3
127,Раменское,8
128,Реутов,8
129,Ростов-на-Дону,1
130,Рубцовск,10
131,Рыбинск,8
132,Рязань,8
133,Салават,8
134,Салехард,10
135,Самара,8
136,Санкт-Петербург,8
137,Саранск,8
138,Саратов,8
139,Севастополь,8
140,Северодвинск,10
141,Северск,10
142,Сергиев Посад,8
143,Серпухов,8
144,Симферополь,8
145,Смоленск,8
146,Сочи,3
147,Ставрополь,3
148,Старый Оскол,8
149,Стерлитмак,8
150,Сургут,10
151,Сызрань,8
152,Сыктывкар,10
153,Таганрог,1
154,Тамбов,8
155,Тверь,8
156,Тольятти,8
157,Томск,10
158,Тула,8
159,Тюмень,10
160,Улан-Удэ,15
161,Ульяновск,8
162,Уссурийск,17
163,Уфа,8
164,Хабаровск,24
165,Ханты-Мансийск,10
166,Хасавюрт,8
167,Химки,8
168,Чебоксары,8
169,Челябинск,10
170,Череповец,8
171,Черкесск,3
172,Чита,15
173,Шахты,1
174,Щелково,8
175,Электросталь,8
176,Элиста,8
177,Энгельск,8
178,Южно-Сахалинск,17
179,Якутск,26
180,Ярославль,8
